CaseID,Activity,Arrival_Time,Start_Time,End_Time,Resource,Regime_Mode
0,Data_Entry,0.0,0.0,9.478387870045097,Clerk,2
1,Data_Entry,12.240723447297613,12.240723447297613,22.158279858434675,Clerk,1
2,Data_Entry,15.271757675338975,15.271757675338975,28.1676515566309,Clerk,2
5,Data_Entry,42.684949840607544,42.684949840607544,49.77829954831103,Clerk,1
4,Data_Entry,42.36221699644385,42.36221699644385,52.64252703274879,Clerk,2
3,Data_Entry,41.999214869955544,41.999214869955544,55.11430970923574,Clerk,1
6,Data_Entry,52.13290089151636,52.13290089151636,59.239150988442425,Clerk,2
1,Underwriting,22.158279858434675,22.158279858434675,62.86277980402995,Primary_UW,1
7,Data_Entry,72.02575802219353,72.02575802219353,80.80674384169741,Clerk,1
8,Data_Entry,86.39923731387535,86.39923731387535,91.26646567592697,Clerk,1
3,Underwriting,55.11430970923574,55.11430970923574,92.2176907476493,Primary_UW,1
7,Underwriting,80.80674384169741,80.80674384169741,101.60123081337493,Primary_UW,1
5,Underwriting,49.77829954831103,49.77829954831103,105.31388626842813,Primary_UW,1
8,Underwriting,91.26646567592697,91.26646567592697,126.96412024576898,Primary_UW,1
9,Data_Entry,124.217509095135,124.217509095135,130.2439141957033,Clerk,1
10,Data_Entry,125.43813331508258,125.43813331508258,134.4116190498437,Clerk,1
11,Data_Entry,145.1868925879457,145.1868925879457,152.81826049912607,Clerk,1
9,Underwriting,130.2439141957033,130.2439141957033,155.65228094761483,Primary_UW,1
8,VP_Approval,126.96412024576898,126.96412024576898,156.14695657713872,VP,1
12,Data_Entry,188.58147481622592,188.58147481622592,193.90734197010246,Clerk,1
11,Underwriting,152.81826049912607,152.81826049912607,198.74333631098366,Primary_UW,1
10,Underwriting,134.4116190498437,134.4116190498437,214.75096658222876,Primary_UW,1
13,Data_Entry,209.80300663125195,209.80300663125195,218.24549230970575,Clerk,1
14,Data_Entry,220.1375979274381,220.1375979274381,229.27804598156388,Clerk,1
12,Underwriting,193.90734197010246,193.90734197010246,229.86157806518088,Primary_UW,1
15,Data_Entry,223.2412655716041,223.2412655716041,230.0609172228733,Clerk,2
16,Data_Entry,226.4212160883081,226.4212160883081,233.90315428077943,Clerk,1
0,Underwriting,9.478387870045097,9.478387870045097,234.6902163674277,Reserve_UW,2
2,Underwriting,28.1676515566309,28.1676515566309,240.79005225623223,Reserve_UW,2
17,Data_Entry,238.5380345947219,238.5380345947219,244.48384430636696,Clerk,1
13,Underwriting,218.24549230970575,218.24549230970575,246.45340608857543,Primary_UW,1
18,Data_Entry,241.3592167921668,241.3592167921668,247.02104533988484,Clerk,1
13,VP_Approval,246.45340608857543,246.45340608857543,259.0353643132384,VP,1
19,Data_Entry,253.8899124086373,253.8899124086373,262.55288891333737,Clerk,2
14,Underwriting,229.27804598156388,229.27804598156388,264.4172473409936,Primary_UW,1
18,Underwriting,247.02104533988484,247.02104533988484,273.2988743553025,Primary_UW,1
20,Data_Entry,269.5631658891859,269.5631658891859,278.1601416384989,Clerk,1
17,Underwriting,244.48384430636696,244.48384430636696,293.0800491393958,Primary_UW,1
20,Underwriting,278.1601416384989,278.1601416384989,320.8405795636295,Primary_UW,1
16,Underwriting,233.90315428077943,233.90315428077943,327.6793712852121,Primary_UW,1
21,Data_Entry,324.2664423104906,324.2664423104906,331.7272888977461,Clerk,1
22,Data_Entry,338.11394778251525,338.11394778251525,344.6940266912983,Clerk,2
23,Data_Entry,341.2354988726431,341.2354988726431,348.34767575384194,Clerk,1
24,Data_Entry,344.97494886976403,344.97494886976403,356.1886536108724,Clerk,1
21,Underwriting,331.7272888977461,331.7272888977461,356.47149101919973,Primary_UW,1
14,VP_Approval,264.4172473409936,264.4172473409936,373.3546319453136,VP,1
24,Underwriting,356.1886536108724,356.1886536108724,378.2711204477909,Primary_UW,1
25,Data_Entry,370.0602630279068,370.0602630279068,379.06026854924846,Clerk,1
26,Data_Entry,376.10312500407787,376.10312500407787,383.3783541906855,Clerk,1
27,Data_Entry,379.79578605544407,379.79578605544407,389.6067731193646,Clerk,1
28,Data_Entry,383.4535882460744,383.4535882460744,394.25183772528715,Clerk,1
29,Data_Entry,389.57151181998876,389.57151181998876,395.92011453006177,Clerk,2
23,Underwriting,348.34767575384194,348.34767575384194,399.6351889890487,Primary_UW,1
31,Data_Entry,399.5137910079476,399.5137910079476,406.5865293867074,Clerk,2
30,Data_Entry,398.1201151073238,398.1201151073238,409.0627163046204,Clerk,1
25,Underwriting,379.06026854924846,379.06026854924846,413.158011735488,Primary_UW,1
32,Data_Entry,406.0952895013514,406.0952895013514,413.81905734020523,Clerk,1
27,Underwriting,389.6067731193646,389.6067731193646,429.10734104466866,Primary_UW,1
30,Underwriting,409.0627163046204,409.0627163046204,437.7790480246755,Primary_UW,1
32,Underwriting,413.81905734020523,413.81905734020523,441.5214101998584,Primary_UW,1
28,Underwriting,394.25183772528715,394.25183772528715,445.28651624182856,Primary_UW,1
